alphabet,word,definition,alternative_word,alternative_definition,
A,alberare,"to grow to a tree. Also to set vpright or pitch an end. Also to shaft or staue any weapon as a holbard. Also to enstaffe as a Streamer or banner. Also to put an hardle or shaft to any toole. Also to furnish a ship with masts. Also to make or reduce into, or couer with trees, boughes or branches as an arbor or bowre. Also to furnish or set any place with trees",,,
A,alberare il pezzo,to set a piece vpright,,,
A,alberare la cazza,to hold the ladle vpright in charging of a piece,,,
A,alberare la picca,to aduance the pike,,,
A,alberare le sbarre,to pitch an eud or set the barres vpright,,,
A,alberata,an arbor or bowre of boughs,,,
A,alberello,as,Albarello.,,
A,alberetto,a little tree,,,
A,albergamento,"a lodging, a dwelling",,,
A,albergare,"to lodge, to harborow, to dwell",,,
A,albergatore,"a lodger, an harbenger",,,
A,alberges,a kind of fruit in Italie,,,
A,alberghetto,any little roome or lodging,,,
A,albergo,"a dwelling, an harborow",,,
A,albero,"any kind of tree. Also the shaft or staffe of any weapon or banner. Also the mast of a ship. Also a stemme or pedigree of any house or name. Also the Poplar tree in particular, amonstrous sea-fish, called the Sea-tree",,,
A,albero marino,a monstrous great fish called a Sea-tree,,,
A,albicere,a kind of whitish Oliues,,,
A,albichista,,,,
A,albio,a pigs trough. Also a racke to fodder cattell in. Also a certaine toole that smiths vse. Also a fish called in,,Latine Aburnus,
A,albipede,white footed,,,
A,albiterati,a kind of whitish figs,,,
A,albitrare,,,,
A,albitraro,an arbitrator,,,
A,albitratore,,,,
A,albitrio,as,,,
A,albitro,as,,,
A,albo,"white, whitish. Also a fish called in Latin Orfum or Capitonus",,,
A,albogalero,a hat like a myter which Iupiters Priests were wont to weare,,,
A,alborare,looke,,,
A,alborata,an arbor of boughs or trees,,,
A,alborato,"set with, or full of trees, looke",,,
A,albore,,,,
A,albore#2,,,,
A,alboreto,a groue or thicket of trees,,,
A,alboretto,idem. Also a yong tree,,,
A,albuco,the white or dutch Daffodill,,,
A,albuela vite,a kind of vine or grape,,,
A,albugine,whitenesse. Also a white blemish in the eie. Also the white of an egge,,,
A,albuine,,,,
A,albuolo,"a pigs trough, a kneading tub, a washing-boule, a wooden tray",,,
A,albura,whitishnesse. Also as,,,
A,alburno,"a fish called a Blaie or Bleake. Also the white, the sappe or softest part of any timber subiect to wormeeating. Also that whitish colour of womens haire which we call an Alburne or A burne colour",,,
A,albuscello,any kind of shrub or yong tree,,,
A,alcachengi,the winter Chery,,,
A,alcaido,"a Captaine, a chiefe gouernor, or chiefe Iusticer, with vs a Sheriffe",,,
A,alcatrazzi,"a bird as big as a Goose, a kind of Sea-gull",,,
A,alce,a beast called an Elke. Also as Alice,,,
A,alcea,,,,
A,alch??_,,,,
A,alchimia,the art of Alchimie,,,
A,alchimista,"an Alchimist, a chimicke",,,
A,alchiterano,a kind of drug,,,
A,alcibiade,the vipers hearbe or Buglosse,,,
A,alcibione,,,,
A,alcione,"a bird called a Kings fisher, which makes her nest by the sea side, and then is it a signe of faire weather",,,
A,alcionei giorni,quiet and calme daies,,,
A,alconspetto,"in presence, in view",,,
A,alcontrario,on the contrary,,,
A,alconueneuole,"decently, conueniently",,,
A,alconuerso,"arsi-uersie, contrary",,,
A,alcorano,the booke of the Turkishlawes or institutions called the Alcoron,,,
A,alcorpo di m??_,,,,
A,alcospetto,in the presence or view,,,
A,alcun cotanto,any other so much,,,
A,alcuna qualche volta,at sometime or other,,,
A,alcuna volta,some times,,,
A,alcunamente,"in some sort, some way",,,
A,alcuno,"some one, some body, any, anie one",,,
A,aldarga,a kind of target among the Mores in Barbarie,,,
A,aldasezzo,"at last, in fine, at the end",,,
A,aldea,"a village, a to wne, a hamlet",,,
A,aldo,vsed for,"Io ?_do,",I heare,
A,alea,an allie or walking place,,,
A,alece,,,,
A,alechsal??_m,,,,
A,aledia,,,,
A,alefangine,a kind of pills so called. Also all manner of spices,,,
A,aleffe,"the first Moresco letter, as",Alfa.,,
A,alega,,,,
A,alegare,"to alleadge, as",,,
A,aleggere,"to elect, to chuse",,,
A,aleggiare,to feede vpon wings,,,
A,alegheuole,that may be alleadged,,,
A,alegoria,an allegorie,,,
A,alegoricamente,allegoricallie,,,
A,alegorizzare,to vse allegories,,,
A,alegrare,,,,
A,alegretti,,,,
A,alegrezza,,,,
A,alenare,"to giue or take breath, to enseame a horse, to breath, to bring in breath",,,
A,alenza,"by or with a net, looke",,,
A,alepardo,a Leopard,,,
A,alepe,the name of a fish. Also of an hearbe,,,
A,aleppe,the first Hebrew letter. Also the beginner of all things,,,
A,alesi,,,,
A,alessandrina,the hearbe Perwinckle,,,
A,alessare,"to boile, or seeth meat",,,
A,alessipharmaca,counter-poisons or antidotes,,,
A,alesso,boiled or sodden meat,,,
A,alestire,,,,
A,alette,"little wings, &c. looke",,,
A,alettere discatole,as plaine to be seen or heard as are the great letters vpon boxes in Apothecaries shops,,,
A,aletteria,a stone of the bignesse of a beane found in the maw of a cocke,,,
A,alettolopho,the hearbe Coxcombe,,,
A,alettoridi,certaine birds with long bills,,liuing in garden-hedges or vineyards,
A,alettorio,,,,
A,alfa,"the first Greeke letter, a beginning",,,
A,alfa & omega,,,,
A,alfabetico,in order of letters,,,
A,alfabeto,an Alphabet or,,,
A,alfaique,"as one would say wise, or learned in Mahomets law, skilfull in diuine matters",,,
A,alfana,a breeding wild Mare,,,
A,alfar del giorno,by peepe or breake of day,,,
A,alfero,as,Alfiero.,,
A,alfeste,a kind of fish,,,
A,alfi,"o, the hearbe Liuerwort. Also a spauin in a horse. Also a tetter or ringworme",,,
A,alfiero,an ensigne bearer. Also a Bishop at chesse,,,
A,alfino,as,Alfiero.,,
A,alfonsino,a certaine coine in Naples,,,
A,alfordio,a kind of venemous Serpent,,,
A,alga,"sea-grasse, Reete, Rites. Also Ducke-weede. Also Speltcorne",,,
A,algebra,the arte of figuratiue numbers or Arithmeticke. Also the art of bonesetting,,,
A,algebrista,an arithmetician. Also a hone-setter,,,
A,algense,"any kind of fish that breedeth in, or feedeth vpon Sea-weede or Rite",,,
A,algente,"cold, chill, freezing",,,
A,algere,to chill for cold,,,
A,alghebra,,,,
A,alghebrista,,,,
A,algiro,turning or wheeling round. Also in Latine Dianapharum,,,
A,algironi,a kind of cormorant,,,
A,algorismo,the art of numbring,,,
A,algoso,full of sea-grasse or Rite,,,
A,algrosso,"in grosse, by great",,,
A,alguno,vsed as,,,
A,algura,,,,
A,algurare,,,,
A,alguzzino,as,Ag,oz,
A,alheppe,for,"Alehebbe,",he had wings,
A,alhor',"then, at that houre",,,
A,alhotta,"then, at that houre",,,
A,ali,wings. Also among armorers called lamms,,,
A,ali aperte,displaid in armorie,,,
A,alia,"a wing, as",Ala.,,
A,aliare,to sore or houer vp and downe as a hawke. Also to sneake about,,,
A,alibanti,such as diefor want of moistnesse,,,
A,alibea,a kind of hearbe,,,
A,alibile,"nourishable, nourishing. Also lawfull or allowable",,,
A,alibire,"to nourish, or giue nourishment vnto. Also to make lawfull",,,
A,alibito,"quelled, ouercome, and put to si-",,lence,
A,alica,,,,
A,alicastro,the wheat called Far,,,
A,alice,a Pilcher or sprat fish. Also a kind of fish sauce,,,
A,alichino,"the name of a deuill in Dant, that is, inclination to vice and sinne",,,
A,alicorno,an Vnicorne. Also the Vnicornes horne,,,
A,alicubi,"some where, in any place",,,
A,alidare,"to taint, or become stale meat",,,
A,alido,"stale, flie-bitten or tainted meat",,,
A,alie,the plurall of,"A'la,",wings,
A,alienare,"to alienate, to estrange",,,
A,alienatione,"alicnation, estranging",,,
A,alienigenare,"to alien, to estrange",,,
A,alienigeno,"an alien, a forrene",,,
A,alieno,"an aliene, aforraine, a frenne",,,
A,alieta,a kind of Eagle which alone fixeth her eies against the sunne,,,
A,aliette,the little wings or finnes of fishes,,,
A,alieua,in lifting or raising manner,,,
A,alieuare,"to lift, beaue, or raise vp",,,
A,aliga,,,,
A,aligare,to tie or bind vnto,,,
A,aligero,bearing wings,,,
A,aligi,a blew Lilly flowre,,,
A,aligoso,as,,,
A,aligosta,a kind of dainty fish,,,
A,alima,"an hearb, which being eaten keeps one a long time from hunger",,,
A,alimare,to place or shoot leuell or pointblanke,,,
A,alimentare,to nourish and sustaine,,,
A,alimento,"nourishment, sustenance",,,
A,alimo,"a kind of Sea-wort, brackish in taste",,,
A,alimone,"a nourisher, a fosterer. Also a kind of hear be as",Alima.,,
A,alimonia,any nourishment or sustenance,,,
A,alino,a kind of Liquorish,,,
A,aliossi,"at keeles, skales or nine pinnes",,,
A,alipo,a weede growing on rockes by the sea,,,
A,alipone,,,,
A,aliquanta,,,,
A,aliquota,,,,
A,aliquoto,"some or certaine,",in aliqu?_ta p??rte,in some part,
A,alisma,"a weede growing in fennes or marishes like to a Planten, a water docke",,,
A,aliso,a blew Lilly flowre,,,
A,alisso,"an hearbe or reede called Allison, some take it for the woodrose",,,
A,alisto,cottized in armory,,,
A,alita,a kind of praing bird with a long beake and hooked tallons,,,
A,alitare,to pant or draw breath,,,
A,alito,"breath, respiration, or panting",,,
A,aliuellare,"to leuell, or make euen",,,
A,aliuellata,a leuelling or euen-nesse,,,
A,aliuello,"leuell, point-blanke",,,
A,aliungia,the plant Spikenard,,,
A,alizzare,to feede vpon wings,,,
A,all reale,"royally, magnificently",,,
A,all' entrata,at the entrance,,,
A,all'auenante,"ratably, sutably",,,
A,all'auenente,in fitting or seemely maner,,,
A,all'auuiluppata,"confusedly, intricatelie",,,
A,all'hora,"then, at that houre or time",,,
A,all'hotta,"then, at that houre or time",,,
A,all'in grosso,"in grosse, by great",,,
A,all'inanzi,forward,,,
A,all'incanto,as,,,
A,all'incontro,as,,,
A,all'indietro,backward,,,
A,all'infuora,outwardly,,,
A,all'instante,"at the instant, or instance",,,
A,all'uscita,at the going out,,,
A,alla,"to the, at the, with verbes of priuation, from the. Also the measure called an Ell. Also a hall, a common or guildhall. Also being ioined to any noune it makes the same an aduerbe of quality or similitude, as","Ala,","as like, according vnto, after the fashion",
A,alla affrontata,in affronting manner,,,
A,alla buon hora,in a good houre,,,
A,alla buona,in good fashion,,,
A,alla capricciosa,"phantastically, rashly",,,
A,alla cerca,in searche or pursuit,,,
A,alla china,bending or stoopingly,,,
A,alla cieca,"blindly, blindfold",,,
A,alla confusa,"confusedly, pell mell",,,
A,alla croce,by the crosse,,,
A,alla diffila,"stragglingly, scatteringly",,,
A,alla dirotta,"outright, mainly",,,
A,alla disdoss,"a, bare-backt, without a saddle",,,
A,alla disperata,desperately,,,
A,alla dissilata,,,,
A,alla distesa,"at length, extendedly",,,
A,alla facchina,"basely, porter-like",,,
A,alla fila,"in files, in roes, in rankes",,,
A,alla fin fine,"in fine, when all is done",,,
A,alla fine,"at last, in the end, in fine",,,
A,alla foggia,"after the fashion, like as",,,
A,alla fuggita,"cursory-wise, running away",,,
A,alla gemina,a kinde of damaske-worke vpon iron or steele wrought with gold,,,
A,alla ginetta,in fashion of aginnet,,,
A,alla giornata,"dailie, daie by daie",,,
A,alla grande,according to greatnesse. Also magnificently or sumptuously,,,
A,alla grossa,"grosely, homely, clounishly",,,
A,alla grossolana,,,,
A,alla infinta,fainedly,,,
A,alla ingi??_,,,,
A,alla leggiera,"lightly, slightly",,,
A,alla libera,"freely, frankely, sans feare",,,
A,alla longa,"at length, at large, in time. Also after the long fashion",,,
A,alla mal' hora,in an ill houre,,,
A,alla mano,"at hand, readily",,,
A,alla mescolata,"confusedly, pell mell",,,
A,alla minella,a play at nine or twelue holes,,,
A,alla muta,"dumbly, mutely",,,
A,alla non pensata,"extempore, vnthought on",,,
A,alla perfine,"at last, in fine, in the end",,,
A,alla piggiore,at the worst,,,
A,alla piu trista,"at worst, if the worst come",,,
A,alla prima,"at first, firstly",,,
A,alla raffa,"in rifling maner, at rifling",,,
A,alla rappa,"rap and runne, shiflingly, snatchingly, higledy, pegledy",,,
A,alla rasa,razed or shaued smoothly,,,
A,alla recisa,"cuttingly, hackingly",,,
A,alla rifrescata,in Autum time when it beginneth to be cold,,,
A,alla rincontra,"front vnto, face to face",,,
A,alla rinfusa,"confusedly, helterskelter",,,
A,alla ritratta,in retyring maner,,,
A,alla romana,after the Roman fashion,,,
A,alla rotta,"in rout, in broken manner",,,
A,alla sbardellata,"roistingly, swaggeringly",,,
A,alla sboccata,"impudently, shamelesly",,,
A,alla sbracata,"beastly, without shame",,,
A,alla scamisciata,"loosely, nakedly, rashlie",,,
A,alla scapestrata,"riotously, headlongly",,,
A,alla scatenata,"furiously, desperately",,,
A,alla schietta,"plainely, simply",,,
A,alla scondescesa,rumbling downe as from a rocke,,,
A,alla scoperta,"openly, in view of all",,,
A,alla seconda,"in seconding, or southing manner",,,
A,alla sfilata,"scatteringly, straglingly",,,
A,alla sfuggiasca,,,,
A,alla sfuggita,"running-away, a snatch and away, without stay, cursory",,,
A,alla sicura,"securely, vndoubtedly",,,
A,alla spaparata,"openly, with open breasts",,,
A,alla spianacclata,"plainely, openly",,,
A,alla spicciolata,scatteringly. Also in lurking manner as souldiers go a shifting and freebooting,,,
A,alla stagliata,"cuttingly, hackingly",,,
A,alla stracca,to the point of wearinesse,,,
A,alla trista,"poorely, wretchedly",,,
A,alla tua barba,"in sight, or spite of thy beard",,,
A,alla tuliana,"eloquently, Ciceronianlike",,,
A,alla vista,"in view, in full sight",,,
A,alla volta,"towards, toward",,,
A,alla zemina,,,,
A,allacciamenti,"lacings, snarings, tramelings, entanglings, knittings. Also enwrappings, allurements, enueaglings, entrappings",,,
A,allacciare,"to lace, to bind or tie vnto, to ensnare, to entangle, to entramell, to knit, to enwrap. Also to allure, to enueagle or wind in with flattery",,,
A,allag??_re,,,,
A,allagamento,an ouerflowing. Also a dilating or extending,,,
A,allagatione,,,,
A,allambra,"a strong hold, or pallace for a King",,,
A,allancare,"to sobbe, to throbbe, to blubber",,,
A,allanciare,to hurle with violence,,,
A,allardare,"to larde, to enlard",,,
A,allarga la mano,"a spend all, a wastgood",,,
A,allargamento,"an enlargement, an enlarging, an amplifying",,,
A,allargare,"to enlarge, to spread",,,
A,allargatura,"an enlarging, a spreading",,,
A,allaria,"the hearbe Sauce alone or Iacke of the wood or hedge, it tasts of garlike",,,
A,allasciare,"to slacken, to loosen, to vnbinde",,,
A,allaslero,an hear be yeelding bitterish Sugar,,,
A,allastricare,to paue with flat stones,,,
A,allatiuo,as,,,
A,allato,as,"Alato,","in respect, in comparison",
A,allattante,"sucking, or giuing milke",,,
A,allattare,"to giue sucke, to feed with mulke, to milke, to sucke",,,
A,alle,"to the, at the, but plurally. Also a kinde of birde",,,
A,alle botte,"at times, sometimes. Also at blowes, at handicuffes, at stroakes",,,
A,alle fiate,"at times, sometimes",,,
A,alle guagnelle,"an oath that country people sweare by, as we say, by the Masse, by the holy G<*>sp<*>ll",,,
A,alle osse,"a game called, at che-ripit",,,
A,alle pome,looke,,,
A,alle riscosse,"ready to releeue, to redeem, to r??scue or helpe of",,,
A,alle strette,"at grapling, or handy gripes",,,
A,alle tullie,"Ciceronian like, eloquently",,,
A,alle volte,"at times, sometimes",,,
A,alleccare,,,,
A,allecchiam enti,"lickings, sleekings. Also faunings, enticements, or blandishments",,,
A,allecchiare,"to licke, to sleeke, to smooth, to licke and wash himselfe as a cat doth, to stroake ones beard. Also to faune, to flatter, to entice or allure with blandishments",,,
A,alleficare,"to foster, to feede or nourish",,,
A,alleganza,a combining or aliance,,,
A,allegare,"to alleage, to cite. Also to adresse vnto. Also to allie to combine to binde together or vnto and confederate. Also to set ones teeth an edge by some soure taste",,,
A,allegati denti,teeth set on edge,,,
A,allegatione,"an alleaging, an allegation",,,
A,alleggeramento,"an eating, a refreshing",,,
A,alleggerire,"to lighten, to ease, to disburden. Also to refresh",,,
A,alleggiamento,"an easing, a lightening,",,a disburdening,
A,alleggiare,,,,
A,allegramente,"gladly, merily, iocondly",,,
A,allegranza,,,,
A,allegrare,"to glad, to rcioice, to blithe, to make or wax merry and frolike",,,
A,allegratiuo,make merrie and glad,,,
A,allegretti,an hearbe good in salets,,,
A,allegrezza,"mirth, gladnesse, ioy, solace, pastime, glee. Also a march sounded on trumpet and drume in signe of victory",,,
A,allegria,,,,
A,allegrissimamente,most ioyfully or gladly,,,
A,allegro,"glad, merry, iocond, ioyfull, pleasant, blithfull, frolike",,,
A,alleluia,"praise to God, God be praised. Also the hearbe wood-sorell",,,
A,allemani,"together by the eares, in hands",,,
A,allenare,,,,
A,allenire,"to aswage, to relent",,,
A,allentanza,"a slacking, a relenting",,,
A,allentare,"to slacke, to relent, to slow",,,
A,allessare,,,,
A,allesso,as,,,
A,allestire,"to make nimble, slie, or quicke, or dight with aquilitie",,,
A,allesto,"nimble, quicke, riquilant",,,
A,alletta,a fish called a mullet,,,
A,allettamenti,"enticements, allurements",,,
A,allettanza,"allurement, inticement",,,
A,allettare,to entice or allure vnto,,,
A,allette,"shelters, shrouds, hosteries",,,
A,alletterare,to enliterate,,,
A,alletterato,"literated, learned",,,
A,alletteuole,that may be allured,,,
A,alleuare,"to foster, to breed or bring vp",,,
A,alleuatrice,"a foster-mother, a midwife",,,
A,alleuiamento,"a lightning, a disburdening",,,
A,alleuiare,"to lighten, to disburden",,,
A,alliaria,,,,
A,allibile,,,,
A,allibire,,,,
A,allieuare,,,,
A,allieuo,a foster childe or seruant of ones bringing vp,,,
A,alligare,,,,
A,allignare,"to take roote, to prosper in growing, to follow kinne",,,
A,allimbratto,"foully, filthily",,,
A,allisciare,or,,,
A,alliuellare,,,,
A,alliuellata,,,,
A,alliuello,as,Aliuello.,,
A,allo,"to the, at the. Also from the",,,
A,allo indietro,backward,,,
A,allo ingi??_,,,,
A,allo ins??_,,,,
A,allo scorcio,"at last, at the cutting of",,,
A,allo sproposito,"arcie-uersie, cleane from the purpose",,,
A,allocanda,that is to be hired or rented. Also vsed for a bawde,,,
A,allocare,,,,
A,alloccare,"to play the owle, to make an owlet of",,,
A,allodetta,a little larke,,,
A,allodiale,"rentable, or finable",,,
A,allodiare,to rent or farme for profit,,,
A,allodola,"a Larke, looke",Dare l'all,?_-,
A,allogagioni,"placings, farmings, lettings",,,
A,allogare,"to place, to settle. Also to let to farme or demise. Also to hire for monie",,,
